Category,Item,Variant,Price
ROLLES & WRAP,LACHIT ROLL,CHICKEN,100
ROLLES & WRAP,LACHIT ROLL,PORK,110
ROLLES & WRAP,CHEESE LACHIT ROLL,CHICKEN,110
ROLLES & WRAP,CHEESE LACHIT ROLL,PORK,120
ROLLES & WRAP,CHICKEN HAKKA NOODLES,,80
ROLLES & WRAP,EGG CHICKEN HAKKA NOODLES,,120
ROLLES & WRAP,PORK HAKKA NOODLES,,90
ROLLES & WRAP,MCK PYTHON ROLL,CHICKEN,120
ROLLES & WRAP,MCK PYTHON ROLL,PORK,130
ROLLES & WRAP,MCK PYTHON ROLL,PANEER,120
ROLLES & WRAP,EGG PORK HAKKA NOODLES,,140
ROLLES & WRAP,MIX HAKKA NOODLES,,150
ROLLES & WRAP,VEG ROLL,,80
ROLLES & WRAP,VEG HAKKA NOODLES,,60
ROLLES & WRAP,EGG ROLL,,90
ROLLES & WRAP,EGG HAKKA NOODLES,,70
ROLLES & WRAP,ALOO CHATPATA ROLL,,90
ROLLES & WRAP,PANEER HAKKA NOODLES,,80
STARTERS & SNACKS,SCHEZWAN NOODLES,CHICKEN,90
STARTERS & SNACKS,SCHEZWAN NOODLES,PORK,100
STARTERS & SNACKS,FRENCH FRIES,,80
STARTERS & SNACKS,EGG BHURJI,,70
STARTERS & SNACKS,SCHEZWAN NOODLES,MIX,120
STARTERS & SNACKS,CHILLY PANEER DRY,,150
MAINCOURSE,CHICKEN DRY FRY,,150
PORK SPECIALS,MONALISA CHICKEN FINGERS,,200
PORK SPECIALS,PORK ASSAMESE GRAVY,,160
PORK SPECIALS,PORK CHAKNA FRY,,160
PORK SPECIALS,PORK WITH LAI XAAK,,160
PORK SPECIALS,PORK DRY FRY,PLAIN,160
PORK SPECIALS,PORK NAGAMESE CURRY,,160
PORK SPECIALS,PORK DRY FRY,BAMBOOSHOOT,160
PORK SPECIALS,PORK WITH BAMBOOSHOOT,,160
PORK SPECIALS,AUNTIES PORK SALAD,,160
PORK SPECIALS,CHILLY PORK GRAVY,,160
PORK SPECIALS,AUNTIES CHICKEN SALAD,,150
PORK SPECIALS,PORK WITH TIL,,160
PORK SPECIALS,SMOKED PORK,,160
PORK SPECIALS,PORK MANCHURIAN GRAVY,,160
CHICKEN SPECIALS,CHILLY CHICKEN,DRY,150
CHICKEN SPECIALS,CHICKEN ETHNIC MASALA,,150
FRIED RICE & NOODLES,CHICKEN FRIED RICE,,80
FRIED RICE & NOODLES,EGG CHICKEN FRIED RICE,,90
FRIED RICE & NOODLES,PORK FRIED RICE,,90
FRIED RICE & NOODLES,EGG PORK FRIED RICE,,100
FRIED RICE & NOODLES,MIX FRIED RICE,,110
PANEER SPECIALS,CHILLY PANEER GRAVY,,150
PANEER SPECIALS,PANEER MANCHURIAN GRAVY,,150
MAINCOURSE (NORTH INDIAN CUISINE),CHICKEN BUTTER MASALA,,220
MAINCOURSE (NORTH INDIAN CUISINE),CHICKEN DO PYAZA,,220
MAINCOURSE (NORTH INDIAN CUISINE),CHICKEN BHARTA,,220
MAINCOURSE (NORTH INDIAN CUISINE),KADAI CHICKEN,,220
MAINCOURSE (NORTH INDIAN CUISINE),KADAI PANEER,,220
MAINCOURSE (NORTH INDIAN CUISINE),PANEER BUTTER MASALA,,220
MAINCOURSE (NORTH INDIAN CUISINE),MIX VEG,,150
