Category,Item,Description,Price1,Price2
THALI & PLATTERS,VEG THALI,"Rice+Dal+Mix Veg+Salad+Smashed potato+chutney+veg fry+papad",80,
THALI & PLATTERS,CHICKEN THALI,"Rice+Dal+Mix Veg+Salad+Smashed potato+chutney+veg fry+papad+Chicken Gravy of your choice",180,
THALI & PLATTERS,PORK THALI,"Rice+Dal+Mix Veg+Salad+Smashed potato+chutney+veg fry+papad+Pork Gravy of your choice",200,
THALI & PLATTERS,PANEER THALI,"Rice+Dal+Mix Veg+Salad+Smashed potato+chutney+veg fry+papad+Paneer Gravy of your choice",180,
MEAL BOXES & COMBOS,ASSAMESE STYLE RICE BOX (CHICKEN/PORK),"Sauted Rice+green salad+Pork/chicken curry+chutney",160,170
MEAL BOXES & COMBOS,(CHICKEN / PORK) NOODLE BOX,"Sauted Rice+green salad+Pork/chicken barnbooshoot curry+chutney",160,170
MEAL BOXES & COMBOS,BAMBINO RICE BOX,"Sauted Rice+green salad + Pork Lai Xaak curry+chutney",170,
MEAL BOXES & COMBOS,FRIED RICE BOX (CHICKEN/PORK),,160,170
MEAL BOXES & COMBOS,PORKIFY BOX,,,,
MEAL BOXES & COMBOS,PARATHA BOX (CHICKEN/PORK),"Laccha Paratha (2pc)+green salad + Pork/chicken curry+chutney",160,170
MEAL BOXES & COMBOS,CHILLY CHICKEN COMBO,,,160,
MEAL BOXES & COMBOS,CHILLY PORK COMBO,,,170,
MEAL BOXES & COMBOS,CHILLY PANEER COMBO,,,160,
MEAL BOXES & COMBOS,PORK TIL RICE COMBO,,,170,
MEAL BOXES & COMBOS,PORK NAGAMESE COMBO,,,170,
MEAL BOXES & COMBOS,CHICKEN TIL RICE COMBO,,,160,
MEAL BOXES & COMBOS,BUTTER CHICKEN COMBO,,,199,
MEAL BOXES & COMBOS,KADAI CHICKEN COMBO,,,199,
MEAL BOXES & COMBOS,KADAI PANEER COMBO,,,199,
MEAL BOXES & COMBOS,PORK GRAVY COMBO,,,199,
MEAL BOXES & COMBOS,PANEER BUTTER MASALA COMBO,,,199,
MEAL BOXES & COMBOS,CHICKEN BHARTA COMBO,,,199,
STAPLES & BREADS,STEAMED RICE,,50,70
STAPLES & BREADS,CHICKEN MOMO,,,70,
STAPLES & BREADS,ROTI (1PC),,,15,
STAPLES & BREADS,FRIED MOMO,,,80,
STAPLES & BREADS,LACCHA PARATHA,,,20,
STAPLES & BREADS,KURKURE MOMO,,,90,
STAPLES & BREADS,JEERA RICE,,,80,
STAPLES & BREADS,SCHEZWAN MOMO (PAN FRIED),,,100,
STAPLES & BREADS,VEG PULAO,,,90,
STAPLES & BREADS,JHOL MOMO,,,,
STAPLES & BREADS,THUPKA,,,,
STAPLES & BREADS,BAMBOOSHOOT JHOL MOMO,,,130,
STAPLES & BREADS,CHICKEN THUPKA,,,100,
STAPLES & BREADS,GREENLAND JHOL MOMO,,,130,
STAPLES & BREADS,PORK THUPKA,,,120,
STAPLES & BREADS,ASSAMESE STYLE JHOL MOMO,,,130,
STAPLES & BREADS,MIX THUPKA,,,140,
